Year,High series,Medium series,Low series,Zero net overseas migration
2014,23596424,23596424,23596424,23596424
2015,23932502,23932502,23932502,23932502
2016,24262712,24262712,24262712,24262712
2017,24584620,24584620,24584620,24584620
2018,24898152,24898153,24898154,24898155
2019,25478136,25444104,25408521,24903161
2020,25936500,25873480,25809095,25048626
2021,26402046,26301274,26200811,25190067
2022,26873947,26727025,26582009,25325761
2023,27349900,27147199,26949969,25454972
2024,27829520,27562195,27303910,25576973
2025,28311405,27970435,27643086,25691129
2026,28796151,28372315,27966732,25796865
2027,29283507,28765734,28273607,25893232
2028,29773492,29157085,28575391,25979797
2029,30264147,29545877,28872946,26056317
2030,30755046,29931725,29165889,26122837
2031,31245852,30314335,29453938,26179604
2032,31736375,30693262,29736678,26226812
2033,32226409,31068410,30014050,26265047
2034,32715890,31439821,30286143,26295044
2035,33204848,31807641,30553159,26317619
2036,33693412,32172123,30815407,26333632
2037,34182203,32533632,31073310,26343974
2038,34671331,32892495,31327250,26349391
2039,35160908,33248991,31577558,26350475
2040,35651025,33603376,31824534,26347685
2041,36141847,33955939,32068498,26341405
2042,36633428,34306863,32309646,26331834
2043,37125971,34656377,32548204,26319147
2044,37619613,35004632,32784296,26303389
2045,38114559,35351791,33018032,26284580
2046,38611020,35698016,33249486,26262710
2047,39109288,36043472,33478711,26237737
2048,39609722,36388374,33705787,26209658
2049,40112650,36732899,33930739,26178414
2050,40618436,37077210,34153575,26143924
2051,41127485,37421528,34374365,26106159
2052,41640167,37766007,34593127,26065040
2053,42156755,38110846,34809946,26020534
2054,42677496,38456120,35024815,25972554
2055,43202553,38801884,35237742,25921023
2056,43731893,39148145,35448725,25865876
2057,44265558,39494845,35657744,25807056
2058,44803407,39841888,35864777,25744536
2059,45345286,40189171,36069828,25678344
2060,45890971,40536481,36272819,25608487
2061,46440182,40883602,36473692,25535032
2062,46992564,41230317,36672396,25458107
2063,47547713,41576362,36868831,25377848
2064,48105281,41921500,37062917,25294455
2065,48664837,42265557,37254622,25208210
2066,49226089,42608269,37443819,25119356
