,Year,SSP1,SSP2,SSP3
1,2010,22268384,22268384,22268384
2,2011,22635343.01,22630697.21,22577092.92
3,2012,23008349.11,22998905.35,22890081.51
4,2013,23387501.94,23373104.36,23207409.09
5,2014,23772902.81,23753391.69,23529135.81
6,2015,24164654.67,24139866.41,23855322.67
7,2016,24529337.24,24498535.15,24106937.67
8,2017,24899523.43,24862532.96,24361206.59
9,2018,25275296.32,25231939.03,24618157.42
10,2019,25656740.21,25606833.72,24877818.45
11,2020,26043940.69,25987298.57,25140218.26
12,2021,26408753.58,26344013.62,25329567.49
13,2022,26778676.63,26705625.12,25520342.85
14,2023,27153781.4,27072200.29,25712555.07
15,2024,27534140.49,27443807.26,25906214.98
16,2025,27919827.49,27820515.1,26101333.49
17,2026,28271391.24,28160414.08,26246705.12
18,2027,28627381.85,28504465.8,26392886.4
19,2028,28987855.06,28852721,26539881.83
20,2029,29352867.31,29205231.03,26687695.96
21,2030,29722475.76,29562047.87,26836333.34
22,2031,30065116.18,29887711.4,26952948.76
23,2032,30411706.56,30216962.52,27070070.93
24,2033,30762292.43,30549840.76,27187702.04
25,2034,31116919.85,30886386.08,27305844.31
26,2035,31475635.41,31226638.88,27424499.96
27,2036,31816051.67,31546238.65,27518467.75
28,2037,32160149.61,31869109.48,27612757.52
29,2038,32507969.05,32195284.84,27707370.36
30,2039,32859550.23,32524798.55,27802307.39
31,2040,33214933.85,32857684.79,27897569.71
32,2041,33551214.44,33173250.65,27968024.61
33,2042,33890899.65,33491847.2,28038657.44
34,2043,34234023.98,33813503.57,28109468.65
35,2044,34580622.22,34138249.13,28180458.69
36,2045,34930729.55,34466113.55,28251628.02
37,2046,35256921.61,34773927.68,28293550.84
38,2047,35586159.74,35084490.87,28335535.88
39,2048,35918472.38,35397827.67,28377583.21
40,2049,36253888.23,35713962.86,28419692.94
41,2050,36592436.29,36032921.43,28461865.16
